created_tx_hash,created_vout,created_time,address,value_sats
4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,0,2009-01-03 18:15:05.000000 UTC,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,5000000000
0e3e2357e806b6cdb1f70b54c3a3a17b6714ee1f0e68bebb44a74b1efd512098,0,2009-01-09 02:54:25.000000 UTC,12c6DSiU4Rq3P4ZxziKxzrL5LmMBrzjrJX,5000000000
9b0fc92260312ce44e74ef369f5c66bbb85848f2eddd5a7a1cde251e54ccfdd5,0,2009-01-09 02:55:44.000000 UTC,1HLoD9E4SDFFPDiYfNYnkBLQ85Y51J3Zb1,5000000000
999e1c837c76a1b7fbb7e57baf87b309960f5ffefbf2a9b95dd890602272f644,0,2009-01-09 03:02:53.000000 UTC,1FvzCLoTPGANNjWoUo6jUGuAG3wg1w4YjR,5000000000
df2b060fa2e5e9c8ed5eaf6a45c13753ec8c63282b2688322eba40cd98ea067a,0,2009-01-09 03:16:28.000000 UTC,15ubicBBWFnvoZLT7GiU2qxjRaKJPdkDMG,5000000000
63522845d294ee9b0188ae5cac91bf389a0c3723f084ca1025e7d9cdfe481ce1,0,2009-01-09 03:23:48.000000 UTC,1JfbZRwdDHKZmuiZgYArJZhcuuzuw2HuMu,5000000000
20251a76e64e920e58291a30d4b212939aae976baca40e70818ceaa596fb9d37,0,2009-01-09 03:29:49.000000 UTC,1GkQmKAmHtNfnD3LHhTkewJxKHVSta4m2a,5000000000
8aa673bc752f2851fd645d6a0a92917e967083007d9c1684f9423b100540673f,0,2009-01-09 03:39:29.000000 UTC,16LoW7y83wtawMg5XmT4M3Q7EdjjUmenjM,5000000000
a6f7f1c0dad0f2eb6b13c4f33de664b1b0e9f22efad5994a6d5b6086d85e85e3,0,2009-01-09 03:45:43.000000 UTC,1J6PYEzr4CUoGbnXrELyHszoTSz3wCsCaj,5000000000
d3ad39fa52a89997ac7381c95eeffeaf40b66af7a57e9eba144be0a175a12b11,0,2009-01-09 04:05:52.000000 UTC,15yN7NPEpu82sHhB6TzCW5z5aXoamiKeGy,5000000000
f8325d8f7fa5d658ea143629288d0530d2710dc9193ddc067439de803c37066e,0,2009-01-09 04:12:40.000000 UTC,1dyoBoF5vDmPCxwSsUZbbYhA5qjAfBTx9,5000000000
3b96bb7e197ef276b85131afd4a09c059cc368133a26ca04ebffb0ab4f75c8b8,0,2009-01-09 04:21:28.000000 UTC,1PYELM7jXHy5HhatbXGXfRpGrgMMxmpobu,5000000000
