address,balance_sats
1Bjrramo5EisLKeUXjw9GcUcfXcVnpi6vK,5000000000
1CtABfwubzxuoHacNEZ6FJCBumtTbz71AA,5000000000
1ax2fn3tdpH1R3A2yNFtp8Fn7Z7rt9DnY,5000000000
1F69kZBVERfCmMzj8MvXm8U8p27isphqtY,5000000000
1FqZ84KUqEE7qJVRRTauLXYRjt1JfyPo71,5000000000
1CwTYt6geNuY7JSHZijgSzSqtQLm9xZHNW,5000000000
1LNQBmtWLwwsRS3efnjHQNT617wjrJb9wg,5000000000
192xCo6ULYkbbm84H18Coxzc36j4gLyGn6,5000000000
1zL84Kf5T6KKQwTCWZiVoo9GSV57ChdUt,5000000000
1GwH55QhMxcrwZPWz4Akp3tcK6vxeqg2uH,5000000000
1QKJnFPvRoZ7avBhxqwxhsEv62JWYoB1R9,5000000000
168usSBH4Hav5ivkQ2gYeDd8w6sJsd92zd,5000000000
1BgjV8ERwsPWUzq3p8xXLekUixBCeVDo9w,5000000000
1E3ENaJ5UiVWHyzHvDa3jpnj1RUaKgdF4T,5000000000
13QLhuRNGX7Jczs3Sq4H3Hoj1fUtWF6EVt,5000000000
16LdiHympMFsakyiBpSqEwrCvJZnzugsow,5000000000
1JDtiTXT4RSPt1kKmzxCWXnxxzhPRzpe2R,5000000000
17qC5cT9SWKt8DcKQ7iNe4nf2qifsnUeAF,5000000000
19PFT4oCetuFmCUY4H72Eqgy8XKAVFqmkW,5000000000
16Q4ozBMbGMJZWVYb6J596hEUZ5GEdKe9N,5000000000
1B11PCsQYfz2TyLvdKUN9vC5bdzYmdnAzB,5000000000
1AKKCQDyvVgjdF4SfX9EWA5gUFAtwXANEa,5000000000
114vgHSVHNiZ6LfDkvsSWGnBhgskQridRj,5000000000
1HaCsiLVLJsggBhgwd1WCiWzAWLauHstym,5000000000
1Bf7mvkHE6VKorYZU9YNYuff9vWGqpHoQi,5000000000
1Hb3JAN3oRMxggAM4ApR1NNrPANZK6BaTt,5000000000
1FNpkBY8g1QdoFEXQXJ3Rd252LX6JUJpgd,5000000000
1JmhXdXsN3syKzXErNa8knwdYCencx7qcf,5000000000
1DZXCW2YVeqJUgT8iZdadWM6qKguDzdh46,5000000000
1ELoR6KgoqxtKN1S9GouDzVR7eppFEoYxe,5000000000
1MFHLEQYPiJMg5F4U7Hc5Y2QnpALqwuhhn,5000000000
1CQUir5pGvS6B3YRpHCfZDTdBe6C43Yqn2,5000000000
1ByAsJn6gyPkp7XPfvDn9xM7sbdy9M6i4Y,5000000000
1GBXngkC6KSboF5zZQxdWdG2QRjLhR8nV6,5000000000
16NkdsyZCSCRAmPoEw1LStQd6WrRCdp8fg,5000000000
12PjtXcTV6xJ8QNwbJzhLaBTzX6x4YmLgh,5000000000
1AHXkR2xQmng1EnDsvxm7997pY5fhQAro9,5000000000
1DEqMqTHQPFZDfWzoFXonMNGwEsFx1XQ13,5000000000
12y3TxZnvuAbHnQsg5ykN4PCSA6DtLQh1N,5000000000
